taxi_type,year,month,source_file,source_url,raw_rows,filtered_credit_card_positive_fare_distance_duration_rows,sampled_rows,time_split
yellow,2024,7,yellow_tripdata_2024-07.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2024-07.parquet,3076903,2231759,30000,train
yellow,2024,8,yellow_tripdata_2024-08.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2024-08.parquet,2979183,2153592,30000,train
yellow,2024,9,yellow_tripdata_2024-09.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2024-09.parquet,3633030,2580997,30000,train
yellow,2024,10,yellow_tripdata_2024-10.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2024-10.parquet,3833771,2829197,30000,valid
yellow,2024,11,yellow_tripdata_2024-11.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2024-11.parquet,3646369,2696940,30000,valid
yellow,2024,12,yellow_tripdata_2024-12.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2024-12.parquet,3668371,2708692,30000,valid
yellow,2025,1,yellow_tripdata_2025-01.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2025-01.parquet,3475226,2423607,30000,test
yellow,2025,2,yellow_tripdata_2025-02.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2025-02.parquet,3577543,2313237,30000,test
yellow,2025,3,yellow_tripdata_2025-03.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2025-03.parquet,4145257,2664132,30000,test
yellow,2025,4,yellow_tripdata_2025-04.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2025-04.parquet,3970553,2635607,30000,test
yellow,2025,5,yellow_tripdata_2025-05.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2025-05.parquet,4591845,2765497,30000,test
yellow,2025,6,yellow_tripdata_2025-06.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2025-06.parquet,4322960,2518087,30000,test
yellow,2025,7,yellow_tripdata_2025-07.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2025-07.parquet,3898963,2277995,30000,test
yellow,2025,8,yellow_tripdata_2025-08.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2025-08.parquet,3574091,2123480,30000,test
yellow,2025,9,yellow_tripdata_2025-09.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2025-09.parquet,4251015,2606274,30000,test
yellow,2025,10,yellow_tripdata_2025-10.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2025-10.parquet,4428699,2835297,30000,test
yellow,2025,11,yellow_tripdata_2025-11.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2025-11.parquet,4181444,2629029,30000,test
yellow,2025,12,yellow_tripdata_2025-12.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2025-12.parquet,4305006,2546005,30000,test
